ward_id,month,total_incidents,prev_month_incidents,month_over_month_delta
1,2025-04,42,,
1,2025-05,328,42,286
1,2025-06,365,328,37
1,2025-07,392,365,27
1,2025-08,384,392,-8
1,2025-09,365,384,-19
1,2025-10,383,365,18
1,2025-11,333,383,-50
1,2025-12,311,333,-22
1,2026-01,299,311,-12
1,2026-02,271,299,-28
1,2026-03,322,271,51
1,2026-04,281,322,-41
2,2025-04,27,,
2,2025-05,315,27,288
2,2025-06,376,315,61
2,2025-07,380,376,4
2,2025-08,384,380,4
2,2025-09,283,384,-101
2,2025-10,287,283,4
2,2025-11,316,287,29
2,2025-12,227,316,-89
2,2026-01,297,227,70
2,2026-02,251,297,-46
2,2026-03,303,251,52
2,2026-04,244,303,-59
3,2025-04,74,,
3,2025-05,517,74,443
3,2025-06,527,517,10
3,2025-07,557,527,30
3,2025-08,534,557,-23
3,2025-09,549,534,15
3,2025-10,534,549,-15
3,2025-11,463,534,-71
3,2025-12,496,463,33
3,2026-01,496,496,0
3,2026-02,487,496,-9
3,2026-03,540,487,53
3,2026-04,387,540,-153
4,2025-04,99,,
4,2025-05,737,99,638
4,2025-06,733,737,-4
4,2025-07,763,733,30
4,2025-08,742,763,-21
4,2025-09,682,742,-60
4,2025-10,739,682,57
4,2025-11,564,739,-175
4,2025-12,600,564,36
4,2026-01,553,600,-47
4,2026-02,596,553,43
4,2026-03,632,596,36
4,2026-04,458,632,-174
5,2025-04,64,,
5,2025-05,525,64,461
5,2025-06,538,525,13
5,2025-07,603,538,65
5,2025-08,554,603,-49
5,2025-09,535,554,-19
5,2025-10,547,535,12
5,2025-11,519,547,-28
5,2025-12,451,519,-68
5,2026-01,471,451,20
5,2026-02,479,471,8
5,2026-03,527,479,48
5,2026-04,388,527,-139
6,2025-04,87,,
6,2025-05,792,87,705
6,2025-06,787,792,-5
6,2025-07,897,787,110
6,2025-08,777,897,-120
6,2025-09,711,777,-66
6,2025-10,775,711,64
6,2025-11,692,775,-83
6,2025-12,684,692,-8
6,2026-01,660,684,-24
6,2026-02,581,660,-79
6,2026-03,678,581,97
6,2026-04,572,678,-106
7,2025-04,101,,
7,2025-05,627,101,526
7,2025-06,576,627,-51
7,2025-07,666,576,90
7,2025-08,622,666,-44
7,2025-09,609,622,-13
7,2025-10,544,609,-65
7,2025-11,499,544,-45
7,2025-12,495,499,-4
7,2026-01,481,495,-14
7,2026-02,476,481,-5
7,2026-03,567,476,91
7,2026-04,523,567,-44
8,2025-04,89,,
8,2025-05,623,89,534
8,2025-06,620,623,-3
8,2025-07,666,620,46
8,2025-08,669,666,3
8,2025-09,551,669,-118
8,2025-10,627,551,76
8,2025-11,573,627,-54
8,2025-12,525,573,-48
8,2026-01,517,525,-8
8,2026-02,440,517,-77
8,2026-03,527,440,87
8,2026-04,420,527,-107
9,2025-04,67,,
9,2025-05,622,67,555
9,2025-06,581,622,-41
9,2025-07,701,581,120
9,2025-08,613,701,-88
9,2025-09,640,613,27
9,2025-10,643,640,3
9,2025-11,548,643,-95
9,2025-12,498,548,-50
9,2026-01,512,498,14
9,2026-02,505,512,-7
9,2026-03,562,505,57
9,2026-04,467,562,-95
10,2025-04,71,,
10,2025-05,430,71,359
10,2025-06,490,430,60
10,2025-07,493,490,3
10,2025-08,447,493,-46
10,2025-09,432,447,-15
10,2025-10,508,432,76
10,2025-11,419,508,-89
10,2025-12,371,419,-48
10,2026-01,354,371,-17
10,2026-02,329,354,-25
10,2026-03,394,329,65
10,2026-04,330,394,-64
11,2025-04,31,,
11,2025-05,290,31,259
11,2025-06,271,290,-19
11,2025-07,268,271,-3
11,2025-08,333,268,65
11,2025-09,289,333,-44
11,2025-10,283,289,-6
11,2025-11,268,283,-15
11,2025-12,238,268,-30
11,2026-01,214,238,-24
11,2026-02,233,214,19
11,2026-03,230,233,-3
11,2026-04,229,230,-1
12,2025-04,26,,
12,2025-05,202,26,176
12,2025-06,245,202,43
12,2025-07,226,245,-19
12,2025-08,248,226,22
12,2025-09,230,248,-18
12,2025-10,219,230,-11
12,2025-11,205,219,-14
12,2025-12,209,205,4
12,2026-01,207,209,-2
12,2026-02,219,207,12
12,2026-03,214,219,-5
12,2026-04,194,214,-20
13,2025-04,33,,
13,2025-05,204,33,171
13,2025-06,230,204,26
13,2025-07,207,230,-23
13,2025-08,221,207,14
13,2025-09,226,221,5
13,2025-10,196,226,-30
13,2025-11,194,196,-2
13,2025-12,227,194,33
13,2026-01,160,227,-67
13,2026-02,167,160,7
13,2026-03,197,167,30
13,2026-04,155,197,-42
14,2025-04,29,,
14,2025-05,277,29,248
14,2025-06,299,277,22
14,2025-07,350,299,51
14,2025-08,344,350,-6
14,2025-09,321,344,-23
14,2025-10,336,321,15
14,2025-11,292,336,-44
14,2025-12,267,292,-25
14,2026-01,275,267,8
14,2026-02,305,275,30
14,2026-03,321,305,16
14,2026-04,272,321,-49
15,2025-04,39,,
15,2025-05,297,39,258
15,2025-06,302,297,5
15,2025-07,338,302,36
15,2025-08,351,338,13
15,2025-09,304,351,-47
15,2025-10,297,304,-7
15,2025-11,322,297,25
15,2025-12,285,322,-37
15,2026-01,256,285,-29
15,2026-02,234,256,-22
15,2026-03,287,234,53
15,2026-04,232,287,-55
16,2025-04,100,,
16,2025-05,678,100,578
16,2025-06,638,678,-40
16,2025-07,724,638,86
16,2025-08,640,724,-84
16,2025-09,572,640,-68
16,2025-10,604,572,32
16,2025-11,530,604,-74
16,2025-12,562,530,32
16,2026-01,527,562,-35
16,2026-02,487,527,-40
16,2026-03,538,487,51
16,2026-04,500,538,-38
17,2025-04,90,,
17,2025-05,634,90,544
17,2025-06,717,634,83
17,2025-07,760,717,43
17,2025-08,641,760,-119
17,2025-09,556,641,-85
17,2025-10,664,556,108
17,2025-11,627,664,-37
17,2025-12,559,627,-68
17,2026-01,521,559,-38
17,2026-02,510,521,-11
17,2026-03,513,510,3
17,2026-04,480,513,-33
18,2025-04,40,,
18,2025-05,295,40,255
18,2025-06,317,295,22
18,2025-07,336,317,19
18,2025-08,353,336,17
18,2025-09,279,353,-74
18,2025-10,351,279,72
18,2025-11,274,351,-77
18,2025-12,280,274,6
18,2026-01,246,280,-34
18,2026-02,283,246,37
18,2026-03,267,283,-16
18,2026-04,181,267,-86
19,2025-04,20,,
19,2025-05,197,20,177
19,2025-06,185,197,-12
19,2025-07,229,185,44
19,2025-08,207,229,-22
19,2025-09,179,207,-28
19,2025-10,217,179,38
19,2025-11,216,217,-1
19,2025-12,181,216,-35
19,2026-01,189,181,8
19,2026-02,168,189,-21
19,2026-03,152,168,-16
19,2026-04,136,152,-16
20,2025-04,92,,
20,2025-05,664,92,572
20,2025-06,810,664,146
20,2025-07,781,810,-29
20,2025-08,690,781,-91
20,2025-09,682,690,-8
20,2025-10,682,682,0
20,2025-11,606,682,-76
20,2025-12,635,606,29
20,2026-01,601,635,-34
20,2026-02,517,601,-84
20,2026-03,649,517,132
20,2026-04,532,649,-117
21,2025-04,113,,
21,2025-05,650,113,537
21,2025-06,666,650,16
21,2025-07,676,666,10
21,2025-08,648,676,-28
21,2025-09,634,648,-14
21,2025-10,682,634,48
21,2025-11,538,682,-144
21,2025-12,477,538,-61
21,2026-01,507,477,30
21,2026-02,498,507,-9
21,2026-03,505,498,7
21,2026-04,417,505,-88
22,2025-04,29,,
22,2025-05,239,29,210
22,2025-06,247,239,8
22,2025-07,257,247,10
22,2025-08,223,257,-34
22,2025-09,203,223,-20
22,2025-10,213,203,10
22,2025-11,213,213,0
22,2025-12,202,213,-11
22,2026-01,151,202,-51
22,2026-02,174,151,23
22,2026-03,210,174,36
22,2026-04,148,210,-62
23,2025-04,38,,
23,2025-05,217,38,179
23,2025-06,200,217,-17
23,2025-07,239,200,39
23,2025-08,208,239,-31
23,2025-09,188,208,-20
23,2025-10,188,188,0
23,2025-11,156,188,-32
23,2025-12,134,156,-22
23,2026-01,149,134,15
23,2026-02,135,149,-14
23,2026-03,178,135,43
23,2026-04,134,178,-44
24,2025-04,88,,
24,2025-05,755,88,667
24,2025-06,716,755,-39
24,2025-07,737,716,21
24,2025-08,699,737,-38
24,2025-09,731,699,32
24,2025-10,728,731,-3
24,2025-11,631,728,-97
24,2025-12,549,631,-82
24,2026-01,581,549,32
24,2026-02,562,581,-19
24,2026-03,661,562,99
24,2026-04,540,661,-121
25,2025-04,44,,
25,2025-05,382,44,338
25,2025-06,309,382,-73
25,2025-07,346,309,37
25,2025-08,338,346,-8
25,2025-09,331,338,-7
25,2025-10,359,331,28
25,2025-11,296,359,-63
25,2025-12,294,296,-2
25,2026-01,252,294,-42
25,2026-02,273,252,21
25,2026-03,302,273,29
25,2026-04,284,302,-18
26,2025-04,31,,
26,2025-05,311,31,280
26,2025-06,327,311,16
26,2025-07,289,327,-38
26,2025-08,347,289,58
26,2025-09,298,347,-49
26,2025-10,295,298,-3
26,2025-11,226,295,-69
26,2025-12,256,226,30
26,2026-01,272,256,16
26,2026-02,257,272,-15
26,2026-03,284,257,27
26,2026-04,265,284,-19
27,2025-04,122,,
27,2025-05,1036,122,914
27,2025-06,1008,1036,-28
27,2025-07,1124,1008,116
27,2025-08,1043,1124,-81
27,2025-09,997,1043,-46
27,2025-10,1040,997,43
27,2025-11,846,1040,-194
27,2025-12,807,846,-39
27,2026-01,833,807,26
27,2026-02,726,833,-107
27,2026-03,908,726,182
27,2026-04,662,908,-246
28,2025-04,111,,
28,2025-05,937,111,826
28,2025-06,938,937,1
28,2025-07,1062,938,124
28,2025-08,995,1062,-67
28,2025-09,922,995,-73
28,2025-10,948,922,26
28,2025-11,791,948,-157
28,2025-12,700,791,-91
28,2026-01,747,700,47
28,2026-02,699,747,-48
28,2026-03,781,699,82
28,2026-04,724,781,-57
29,2025-04,57,,
29,2025-05,441,57,384
29,2025-06,420,441,-21
29,2025-07,436,420,16
29,2025-08,411,436,-25
29,2025-09,384,411,-27
29,2025-10,409,384,25
29,2025-11,390,409,-19
29,2025-12,365,390,-25
29,2026-01,326,365,-39
29,2026-02,322,326,-4
29,2026-03,414,322,92
29,2026-04,333,414,-81
30,2025-04,17,,
30,2025-05,189,17,172
30,2025-06,212,189,23
30,2025-07,241,212,29
30,2025-08,210,241,-31
30,2025-09,230,210,20
30,2025-10,231,230,1
30,2025-11,202,231,-29
30,2025-12,171,202,-31
30,2026-01,180,171,9
30,2026-02,175,180,-5
30,2026-03,223,175,48
30,2026-04,167,223,-56
31,2025-04,30,,
31,2025-05,200,30,170
31,2025-06,215,200,15
31,2025-07,250,215,35
31,2025-08,250,250,0
31,2025-09,226,250,-24
31,2025-10,283,226,57
31,2025-11,214,283,-69
31,2025-12,213,214,-1
31,2026-01,181,213,-32
31,2026-02,181,181,0
31,2026-03,259,181,78
31,2026-04,177,259,-82
32,2025-04,41,,
32,2025-05,265,41,224
32,2025-06,314,265,49
32,2025-07,349,314,35
32,2025-08,284,349,-65
32,2025-09,275,284,-9
32,2025-10,317,275,42
32,2025-11,290,317,-27
32,2025-12,273,290,-17
32,2026-01,211,273,-62
32,2026-02,289,211,78
32,2026-03,329,289,40
32,2026-04,233,329,-96
33,2025-04,21,,
33,2025-05,232,21,211
33,2025-06,232,232,0
33,2025-07,246,232,14
33,2025-08,233,246,-13
33,2025-09,224,233,-9
33,2025-10,236,224,12
33,2025-11,195,236,-41
33,2025-12,200,195,5
33,2026-01,180,200,-20
33,2026-02,180,180,0
33,2026-03,214,180,34
33,2026-04,185,214,-29
34,2025-04,59,,
34,2025-05,555,59,496
34,2025-06,582,555,27
34,2025-07,645,582,63
34,2025-08,596,645,-49
34,2025-09,613,596,17
34,2025-10,586,613,-27
34,2025-11,542,586,-44
34,2025-12,484,542,-58
34,2026-01,479,484,-5
34,2026-02,486,479,7
34,2026-03,545,486,59
34,2026-04,443,545,-102
35,2025-04,31,,
35,2025-05,251,31,220
35,2025-06,275,251,24
35,2025-07,290,275,15
35,2025-08,272,290,-18
35,2025-09,274,272,2
35,2025-10,267,274,-7
35,2025-11,241,267,-26
35,2025-12,270,241,29
35,2026-01,237,270,-33
35,2026-02,219,237,-18
35,2026-03,300,219,81
35,2026-04,234,300,-66
36,2025-04,37,,
36,2025-05,300,37,263
36,2025-06,304,300,4
36,2025-07,348,304,44
36,2025-08,325,348,-23
36,2025-09,350,325,25
36,2025-10,320,350,-30
36,2025-11,288,320,-32
36,2025-12,273,288,-15
36,2026-01,313,273,40
36,2026-02,250,313,-63
36,2026-03,314,250,64
36,2026-04,256,314,-58
37,2025-04,80,,
37,2025-05,561,80,481
37,2025-06,539,561,-22
37,2025-07,579,539,40
37,2025-08,522,579,-57
37,2025-09,495,522,-27
37,2025-10,524,495,29
37,2025-11,489,524,-35
37,2025-12,467,489,-22
37,2026-01,444,467,-23
37,2026-02,457,444,13
37,2026-03,500,457,43
37,2026-04,432,500,-68
38,2025-04,17,,
38,2025-05,173,17,156
38,2025-06,151,173,-22
38,2025-07,203,151,52
38,2025-08,182,203,-21
38,2025-09,167,182,-15
38,2025-10,174,167,7
38,2025-11,163,174,-11
38,2025-12,142,163,-21
38,2026-01,134,142,-8
38,2026-02,152,134,18
38,2026-03,148,152,-4
38,2026-04,99,148,-49
39,2025-04,26,,
39,2025-05,195,26,169
39,2025-06,174,195,-21
39,2025-07,199,174,25
39,2025-08,225,199,26
39,2025-09,186,225,-39
39,2025-10,237,186,51
39,2025-11,196,237,-41
39,2025-12,173,196,-23
39,2026-01,160,173,-13
39,2026-02,160,160,0
39,2026-03,164,160,4
39,2026-04,135,164,-29
40,2025-04,26,,
40,2025-05,217,26,191
40,2025-06,208,217,-9
40,2025-07,274,208,66
40,2025-08,255,274,-19
40,2025-09,259,255,4
40,2025-10,243,259,-16
40,2025-11,193,243,-50
40,2025-12,193,193,0
40,2026-01,181,193,-12
40,2026-02,197,181,16
40,2026-03,202,197,5
40,2026-04,179,202,-23
41,2025-04,41,,
41,2025-05,274,41,233
41,2025-06,236,274,-38
41,2025-07,266,236,30
41,2025-08,238,266,-28
41,2025-09,239,238,1
41,2025-10,254,239,15
41,2025-11,180,254,-74
41,2025-12,204,180,24
41,2026-01,212,204,8
41,2026-02,172,212,-40
41,2026-03,211,172,39
41,2026-04,142,211,-69
42,2025-04,78,,
42,2025-05,775,78,697
42,2025-06,793,775,18
42,2025-07,880,793,87
42,2025-08,870,880,-10
42,2025-09,814,870,-56
42,2025-10,864,814,50
42,2025-11,676,864,-188
42,2025-12,681,676,5
42,2026-01,547,681,-134
42,2026-02,549,547,2
42,2026-03,706,549,157
42,2026-04,484,706,-222
43,2025-04,24,,
43,2025-05,236,24,212
43,2025-06,263,236,27
43,2025-07,259,263,-4
43,2025-08,235,259,-24
43,2025-09,239,235,4
43,2025-10,211,239,-28
43,2025-11,235,211,24
43,2025-12,205,235,-30
43,2026-01,181,205,-24
43,2026-02,181,181,0
43,2026-03,271,181,90
43,2026-04,172,271,-99
44,2025-04,36,,
44,2025-05,346,36,310
44,2025-06,474,346,128
44,2025-07,439,474,-35
44,2025-08,318,439,-121
44,2025-09,322,318,4
44,2025-10,310,322,-12
44,2025-11,308,310,-2
44,2025-12,291,308,-17
44,2026-01,208,291,-83
44,2026-02,291,208,83
44,2026-03,343,291,52
44,2026-04,297,343,-46
45,2025-04,30,,
45,2025-05,220,30,190
45,2025-06,228,220,8
45,2025-07,243,228,15
45,2025-08,234,243,-9
45,2025-09,221,234,-13
45,2025-10,212,221,-9
45,2025-11,204,212,-8
45,2025-12,196,204,-8
45,2026-01,185,196,-11
45,2026-02,163,185,-22
45,2026-03,204,163,41
45,2026-04,144,204,-60
46,2025-04,47,,
46,2025-05,341,47,294
46,2025-06,414,341,73
46,2025-07,379,414,-35
46,2025-08,365,379,-14
46,2025-09,384,365,19
46,2025-10,382,384,-2
46,2025-11,326,382,-56
46,2025-12,266,326,-60
46,2026-01,267,266,1
46,2026-02,251,267,-16
46,2026-03,316,251,65
46,2026-04,278,316,-38
47,2025-04,24,,
47,2025-05,181,24,157
47,2025-06,232,181,51
47,2025-07,213,232,-19
47,2025-08,186,213,-27
47,2025-09,250,186,64
47,2025-10,222,250,-28
47,2025-11,188,222,-34
47,2025-12,216,188,28
47,2026-01,213,216,-3
47,2026-02,190,213,-23
47,2026-03,192,190,2
47,2026-04,206,192,14
48,2025-04,36,,
48,2025-05,261,36,225
48,2025-06,278,261,17
48,2025-07,288,278,10
48,2025-08,265,288,-23
48,2025-09,279,265,14
48,2025-10,242,279,-37
48,2025-11,222,242,-20
48,2025-12,199,222,-23
48,2026-01,224,199,25
48,2026-02,199,224,-25
48,2026-03,218,199,19
48,2026-04,192,218,-26
49,2025-04,36,,
49,2025-05,320,36,284
49,2025-06,329,320,9
49,2025-07,312,329,-17
49,2025-08,361,312,49
49,2025-09,355,361,-6
49,2025-10,310,355,-45
49,2025-11,276,310,-34
49,2025-12,278,276,2
49,2026-01,271,278,-7
49,2026-02,268,271,-3
49,2026-03,270,268,2
49,2026-04,224,270,-46
50,2025-04,15,,
50,2025-05,174,15,159
50,2025-06,211,174,37
50,2025-07,237,211,26
50,2025-08,224,237,-13
50,2025-09,240,224,16
50,2025-10,232,240,-8
50,2025-11,213,232,-19
50,2025-12,169,213,-44
50,2026-01,160,169,-9
50,2026-02,164,160,4
50,2026-03,221,164,57
50,2026-04,160,221,-61
